name,p_nom,technology,emission_factor,p_nom_max,p_nom_extendable,min_power,efficiency,marginal_cost,bus,capital_cost
Unit_133,61.5,hard coal,0.3,61.5,FALSE,12.3,0.40791401,1.3,100,1300000
Unit_134,61.5,hard coal,0.3,61.5,FALSE,12.3,0.40791401,1.3,100,1300000
Unit_135,110.755,natural gas,0.2,110.755,FALSE,22.151,0.365686718,5.5,100,
Unit_136,56,lignite,0.4,56,FALSE,11.2,0.317443027,1.65,135,
Unit_137,52.93,natural gas,0.2,52.93,FALSE,10.586,0.645736446,5.5,125,
Unit_138,52.93,natural gas,0.2,52.93,FALSE,10.586,0.645736446,5.5,125,
Unit_139,1060,lignite,0.4,1060,FALSE,212,0.432523517,1.65,3,
Unit_140,1060,lignite,0.4,1060,FALSE,212,0.432523517,1.65,3,
Unit_141,126,natural gas,0.2,126,FALSE,25.2,0.333816936,5.5,157,
Unit_142,121,natural gas,0.2,121,FALSE,24.2,0.333816936,5.5,157,
Unit_143,56.845,natural gas,0.2,56.845,FALSE,11.369,0.628913126,5.5,119,
Unit_144,57.144,natural gas,0.2,57.144,FALSE,114.288,0.628913126,5.5,119,
Unit_145,57.322,natural gas,0.2,57.322,FALSE,114.644,0.42942628,5.5,119,
Unit_146,54.832.533,natural gas,0.2,54.832.533,FALSE,109.665.066,0.519561547,5.5,119,
Unit_147,127,natural gas,0.2,127,FALSE,25.4,0.582648997,5.5,23,
Unit_148,154,hard coal,0.3,154,FALSE,30.8,0.414499459,1.3,23,1300000
Unit_149,407,natural gas,0.2,407,FALSE,81.4,0.574237337,5.5,174,
Unit_150,445,natural gas,0.2,445,FALSE,89,0.574237337,5.5,174,
Unit_151,136,hard coal,0.3,136,FALSE,27.2,0.40571886,1.3,78,1300000
Unit_152,136,hard coal,0.3,136,FALSE,27.2,0.40571886,1.3,78,1300000
Unit_153,78,natural gas,0.2,78,FALSE,15.6,0.370589761,5.5,78,
Unit_154,82,natural gas,0.2,82,FALSE,16.4,0.591060656,5.5,78,
Unit_155,70,natural gas,0.2,70,FALSE,14,0.582648997,5.5,78,
Unit_156,778,hard coal,0.3,778,FALSE,155.6,0.396938261,1.3,161,1300000
Unit_157,417,natural gas,0.2,417,FALSE,83.4,0.574237337,5.5,157,
Unit_158,52.7,natural gas,0.2,52.7,FALSE,10.54,0.402459542,5.5,164,
Unit_159,657,natural gas,0.2,657,FALSE,131.4,0.637324786,5.5,98,
Unit_160,460,hard coal,0.3,460,FALSE,92,0.40571886,1.3,98,1300000
Unit_161,280,natural gas,0.2,280,FALSE,56,0.574237337,5.5,42,
Unit_162,308,natural gas,0.2,308,FALSE,61.6,0.574237337,5.5,42,
Unit_163,308,natural gas,0.2,308,FALSE,61.6,0.574237337,5.5,42,
Unit_164,98,lignite,0.4,98,FALSE,19.6,0.386491321,1.65,42,
Unit_165,63,lignite,0.4,63,FALSE,12.6,0.386491321,1.65,42,
Unit_166,430,natural gas,0.2,430,FALSE,86,0.412265628,5.5,42,
Unit_167,59.8,natural gas,0.2,59.8,FALSE,11.96,0.276195478,5.5,148,
Unit_168,517,hard coal,0.3,517,FALSE,103.4,0.396938261,1.3,187,1300000
Unit_169,834,hard coal,0.3,834,FALSE,166.8,0.460597602,1.3,187,1300000
Unit_170,83,natural gas,0.2,83,FALSE,16.6,0.333816936,5.5,1,
Unit_171,75.3,lignite,0.4,75.3,FALSE,15.06,0.427920298,1.65,93,
Unit_172,147,natural gas,0.2,147,FALSE,29.4,0.390650532,5.5,93,
Unit_173,266,natural gas,0.2,266,FALSE,53.2,0.392653455,5.5,93,
Unit_174,108.2,natural gas,0.2,108.2,FALSE,21.64,0.561619847,5.5,93,
Unit_175,452.9,natural gas,0.2,452.9,FALSE,90.58,0.612089806,5.5,93,
Unit_176,92,oil,0.25,92,FALSE,18.4,0.38,5.5,42,
Unit_177,431,natural gas,0.2,431,FALSE,86.2,0.431239119,5.5,25,
Unit_178,63.54,natural gas,0.2,63.54,FALSE,12.708,0.527973207,5.5,34,
Unit_179,64.603,natural gas,0.2,64.603,FALSE,129.206,0.586854826,5.5,34,
Unit_180,67.5,natural gas,0.2,67.5,FALSE,13.5,0.434329323,5.5,34,
Unit_181,67.5,natural gas,0.2,67.5,FALSE,13.5,0.434329323,5.5,34,
Unit_182,55.4,natural gas,0.2,55.4,FALSE,11.08,0.434329323,5.5,119,
Unit_183,359,natural gas,0.2,359,FALSE,71.8,0.35685904,5.5,19,
Unit_184,58,natural gas,0.2,58,FALSE,11.6,0.591060656,5.5,19,
Unit_185,58,natural gas,0.2,58,FALSE,11.6,0.591060656,5.5,19,
Unit_186,359,natural gas,0.2,359,FALSE,71.8,0.439650779,5.5,19,
Unit_187,58,natural gas,0.2,58,FALSE,11.6,0.407362585,5.5,19,
Unit_188,58,natural gas,0.2,58,FALSE,11.6,0.407362585,5.5,19,
Unit_189,340,natural gas,0.2,340,FALSE,68,0.396100773,5.5,19,
Unit_190,293.5,natural gas,0.2,293.5,FALSE,58.7,0.586854826,5.5,19,
Unit_191,293.5,natural gas,0.2,293.5,FALSE,58.7,0.586854826,5.5,19,
Unit_192,89.5,natural gas,0.2,89.5,FALSE,17.9,0.565825677,5.5,38,
Unit_193,204,natural gas,0.2,204,FALSE,40.8,0.565825677,5.5,38,
Unit_194,204,natural gas,0.2,204,FALSE,40.8,0.565825677,5.5,38,
Unit_195,71.5,natural gas,0.2,71.5,FALSE,14.3,0.532179037,5.5,38,
Unit_196,173,natural gas,0.2,173,FALSE,34.6,0.532179037,5.5,38,
Unit_197,165.5,natural gas,0.2,165.5,FALSE,33.1,0.532179037,5.5,38,
Unit_198,746,hard coal,0.3,746,FALSE,149.2,0.458402452,1.3,11,1300000
Unit_199,90,natural gas,0.2,90,FALSE,18,0.32401085,5.5,54,
Unit_200,139.7,natural gas,0.2,139.7,FALSE,27.94,0.386290339,5.5,54,
Unit_201,291.3,natural gas,0.2,291.3,FALSE,58.26,0.382847369,5.5,54,
Unit_202,255,hard coal,0.3,255,FALSE,51,0.440841255,1.3,38,1300000
Unit_203,435,hard coal,0.3,435,FALSE,87,0.414499459,1.3,38,1300000
Unit_204,843,hard coal,0.3,843,FALSE,168.6,0.462792751,1.3,38,1300000
Unit_205,61.127,natural gas,0.2,61.127,FALSE,122.254,0.431239119,5.5,125,
Unit_206,77.567,natural gas,0.2,77.567,FALSE,155.134,0.435444949,5.5,125,
Unit_207,53.5,natural gas,0.2,53.5,FALSE,10.7,0.637324786,5.5,125,
Unit_208,53.5,natural gas,0.2,53.5,FALSE,10.7,0.637324786,5.5,125,
Unit_209,53.5,natural gas,0.2,53.5,FALSE,10.7,0.637324786,5.5,125,
Unit_210,52.451,natural gas,0.2,52.451,FALSE,104.902,0.431877802,5.5,28,
Unit_211,52.768,natural gas,0.2,52.768,FALSE,105.536,0.431877802,5.5,28,
Unit_212,97.9,natural gas,0.2,97.9,FALSE,19.58,0.460679928,5.5,28,
Unit_213,97.9,natural gas,0.2,97.9,FALSE,19.58,0.460679928,5.5,28,
Unit_214,127.6,natural gas,0.2,127.6,FALSE,25.52,0.561619847,5.5,28,
Unit_215,146.3,natural gas,0.2,146.3,FALSE,29.26,0.633118956,5.5,28,
Unit_216,146.3,natural gas,0.2,146.3,FALSE,29.26,0.633118956,5.5,28,
Unit_217,891,lignite,0.4,891,FALSE,178.2,0.40260259,1.65,34,
Unit_218,891,lignite,0.4,891,FALSE,178.2,0.4049042,1.65,34,
Unit_219,53,natural gas,0.2,53,FALSE,10.6,0.565825677,5.5,84,
Unit_220,53,natural gas,0.2,53,FALSE,10.6,0.565825677,5.5,84,
Unit_221,383,natural gas,0.2,383,FALSE,76.6,0.355768992,5.5,84,
Unit_222,387,natural gas,0.2,387,FALSE,77.4,0.357949088,5.5,84,
Unit_223,53,natural gas,0.2,53,FALSE,10.6,0.439650779,5.5,84,
Unit_224,54,hard coal,0.3,54,FALSE,10.8,0.40352371,1.3,100,1300000
Unit_225,87,oil,0.25,87,FALSE,17.4,0.3072,5.5,71,
Unit_226,90,oil,0.25,90,FALSE,18,0.3904,5.5,96,
Unit_227,78.157,natural gas,0.2,78.157,FALSE,156.314,0.586854826,5.5,95,
Unit_228,54,natural gas,0.2,54,FALSE,10.8,0.370589761,5.5,77,
Unit_229,514,hard coal,0.3,514,FALSE,102.8,0.416694608,1.3,132,1300000
Unit_230,112.5,natural gas,0.2,112.5,FALSE,22.5,0.540590697,5.5,54,
Unit_231,52.496,natural gas,0.2,52.496,FALSE,104.992,0.4728,5.5,122,
Unit_232,53,natural gas,0.2,53,FALSE,10.6,0.372119714,5.5,122,
Unit_233,450,lignite,0.4,450,FALSE,90,0.393396151,1.65,119,
Unit_234,110,lignite,0.4,110,FALSE,22,0.39569776,1.65,119,
Unit_235,450,lignite,0.4,450,FALSE,90,0.39569776,1.65,119,
Unit_236,51.431,natural gas,0.2,51.431,FALSE,102.862,0.519561547,5.5,83,
Unit_237,106,oil,0.25,106,FALSE,21.2,0.3828,5.5,103,
Unit_238,106,oil,0.25,106,FALSE,21.2,0.3828,5.5,103,
Unit_239,59,oil,0.25,59,FALSE,11.8,0.3971,5.5,103,
Unit_240,755,lignite,0.4,755,FALSE,151,0.39799937,1.65,31,
Unit_241,755,lignite,0.4,755,FALSE,151,0.40030098,1.65,31,
Unit_242,100,natural gas,0.2,100,FALSE,20,0.532179037,5.5,175,
Unit_243,500,lignite,0.4,500,FALSE,100,0.361173613,1.65,61,
Unit_244,500,lignite,0.4,500,FALSE,100,0.363475223,1.65,61,
Unit_245,500,lignite,0.4,500,FALSE,100,0.368078443,1.65,61,
Unit_246,500,lignite,0.4,500,FALSE,100,0.370380052,1.65,61,
Unit_247,136,oil,0.25,136,FALSE,27.2,0.3306,5.5,161,
Unit_248,51,oil,0.25,51,FALSE,10.2,0.3072,5.5,23,
Unit_249,137,hard coal,0.3,137,FALSE,27.4,0.414499459,1.3,23,1300000
Unit_250,116,hard coal,0.3,116,FALSE,23.2,0.414499459,1.3,23,1300000
Unit_251,98,oil,0.25,98,FALSE,19.6,0.315,5.5,140,
Unit_252,98,oil,0.25,98,FALSE,19.6,0.3575,5.5,140,
Unit_253,55,natural gas,0.2,55,FALSE,11,0.431239119,5.5,75,
Unit_254,55,natural gas,0.2,55,FALSE,11,0.431239119,5.5,75,
Unit_255,355,natural gas,0.2,355,FALSE,71,0.355768992,5.5,75,
Unit_256,55,natural gas,0.2,55,FALSE,11,0.435444949,5.5,75,
Unit_257,112,natural gas,0.2,112,FALSE,22.4,0.341171501,5.5,75,
Unit_258,51.9,natural gas,0.2,51.9,FALSE,10.38,0.370589761,5.5,42,
Unit_259,90,oil,0.25,90,FALSE,18,0.3432,5.5,42,
Unit_260,726,hard coal,0.3,726,FALSE,145.2,0.462792751,1.3,53,1300000
Unit_261,90.51,natural gas,0.2,90.51,FALSE,18.102,0.641530616,5.5,74,
Unit_262,99.99,natural gas,0.2,99.99,FALSE,19.998,0.641530616,5.5,74,
Unit_263,61,hard coal,0.3,61,FALSE,12.2,0.425475207,1.3,74,1300000
Unit_264,61,hard coal,0.3,61,FALSE,12.2,0.425475207,1.3,74,1300000
Unit_265,138.5,hard coal,0.3,138.5,FALSE,27.7,0.396938261,1.3,74,1300000
Unit_266,138.5,hard coal,0.3,138.5,FALSE,27.7,0.396938261,1.3,74,1300000
Unit_267,90.784,natural gas,0.2,90.784,FALSE,181.568,0.574237337,5.5,187,
Unit_268,51,natural gas,0.2,51,FALSE,10.2,0.392653455,5.5,51,
Unit_269,472,hard coal,0.3,472,FALSE,94.4,0.396938261,1.3,46,1300000
Unit_270,58.172,lignite,0.4,58.172,FALSE,116.344,0.377284882,1.65,101,
Unit_271,79.7,natural gas,0.2,79.7,FALSE,15.94,0.460679928,5.5,28,
Unit_272,56,oil,0.25,56,FALSE,11.2,0.3176,5.5,53,
Unit_273,350,hard coal,0.3,350,FALSE,70,0.361815866,1.3,6,1300000
Unit_274,92.332,lignite,0.4,92.332,FALSE,184.664,0.381888101,1.65,101,
Unit_275,607,lignite,0.4,607,FALSE,121.4,0.347363954,1.65,3,
Unit_276,604,lignite,0.4,604,FALSE,120.8,0.349665564,1.65,3,
Unit_277,68.4,hard coal,0.3,68.4,FALSE,13.68,0.392547962,1.3,125,1300000
Unit_278,55.56,hard coal,0.3,55.56,FALSE,11.112,0.366206166,1.3,125,1300000
Unit_279,52,natural gas,0.2,52,FALSE,10.4,0.431239119,5.5,163,
Unit_280,56,natural gas,0.2,56,FALSE,11.2,0.427033289,5.5,25,
Unit_281,355,natural gas,0.2,355,FALSE,71,0.354678944,5.5,75,
Unit_282,355,natural gas,0.2,355,FALSE,71,0.355768992,5.5,75,
Unit_283,295,lignite,0.4,295,FALSE,59,0.335855905,1.65,3,
